type,obf_class,obf_name,searge_name,mcp_name,side,desc
class,,aay,net/minecraft/item/ItemSword,net/minecraft/item/ItemSword,,
class,,aaz,net/minecraft/item/ItemColored,net/minecraft/item/ItemColored,,
class,,ab,net/minecraft/command/CommandEnchant,net/minecraft/command/CommandEnchant,,
class,,aba,net/minecraft/item/EnumAction,net/minecraft/item/EnumAction,,
class,,abb,net/minecraft/item/ItemLilyPad,net/minecraft/item/ItemLilyPad,,
class,,abc,net/minecraft/item/ItemWritableBook,net/minecraft/item/ItemWritableBook,,
class,,abd,net/minecraft/item/ItemEditableBook,net/minecraft/item/ItemEditableBook,,
class,,abe,net/minecraft/potion/PotionHelper,net/minecraft/potion/PotionHelper,,
class,,abh,net/minecraft/item/crafting/RecipesArmorDyes,net/minecraft/item/crafting/RecipesArmorDyes,,
class,,abi,net/minecraft/item/crafting/RecipesArmor,net/minecraft/item/crafting/RecipesArmor,,
class,,abj,net/minecraft/item/crafting/RecipesBanners,net/minecraft/item/crafting/RecipesBanners,,
class,,abj$1,net/minecraft/item/crafting/RecipesBanners$1,net/minecraft/item/crafting/RecipesBanners$1,,
class,,abj$a,net/minecraft/item/crafting/RecipesBanners$RecipeAddPattern,net/minecraft/item/crafting/RecipesBanners$RecipeAddPattern,,
class,,abj$b,net/minecraft/item/crafting/RecipesBanners$RecipeDuplicatePattern,net/minecraft/item/crafting/RecipesBanners$RecipeDuplicatePattern,,
class,,abk,net/minecraft/item/crafting/RecipeBookCloning,net/minecraft/item/crafting/RecipeBookCloning,,
class,,abl,net/minecraft/item/crafting/RecipesDyes,net/minecraft/item/crafting/RecipesDyes,,
class,,abm,net/minecraft/item/crafting/RecipeFireworks,net/minecraft/item/crafting/RecipeFireworks,,
class,,abn,net/minecraft/item/crafting/RecipesFood,net/minecraft/item/crafting/RecipesFood,,
class,,abo,net/minecraft/item/crafting/FurnaceRecipes,net/minecraft/item/crafting/FurnaceRecipes,,
class,,abp,net/minecraft/item/crafting/RecipesMapCloning,net/minecraft/item/crafting/RecipesMapCloning,,
class,,abq,net/minecraft/item/crafting/RecipesMapExtending,net/minecraft/item/crafting/RecipesMapExtending,,
class,,abr,net/minecraft/item/crafting/RecipesIngots,net/minecraft/item/crafting/RecipesIngots,,
class,,abs,net/minecraft/item/crafting/IRecipe,net/minecraft/item/crafting/IRecipe,,
class,,abt,net/minecraft/item/crafting/CraftingManager,net/minecraft/item/crafting/CraftingManager,,
class,,abt$1,net/minecraft/item/crafting/CraftingManager$1,net/minecraft/item/crafting/CraftingManager$1,,
class,,abu,net/minecraft/item/crafting/RecipeRepairItem,net/minecraft/item/crafting/RecipeRepairItem,,
class,,abv,net/minecraft/item/crafting/ShapedRecipes,net/minecraft/item/crafting/ShapedRecipes,,
class,,abw,net/minecraft/item/crafting/ShapelessRecipes,net/minecraft/item/crafting/ShapelessRecipes,,
class,,abx,net/minecraft/item/crafting/RecipesCrafting,net/minecraft/item/crafting/RecipesCrafting,,
class,,aby,net/minecraft/item/crafting/RecipesTools,net/minecraft/item/crafting/RecipesTools,,
class,,abz,net/minecraft/item/crafting/RecipesWeapons,net/minecraft/item/crafting/RecipesWeapons,,
class,,ac,net/minecraft/command/CommandEntityData,net/minecraft/command/CommandEntityData,,
class,,acb,net/minecraft/enchantment/EnchantmentArrowDamage,net/minecraft/enchantment/EnchantmentArrowDamage,,
class,,acc,net/minecraft/enchantment/EnchantmentArrowFire,net/minecraft/enchantment/EnchantmentArrowFire,,
class,,acd,net/minecraft/enchantment/EnchantmentArrowInfinite,net/minecraft/enchantment/EnchantmentArrowInfinite,,
class,,ace,net/minecraft/enchantment/EnchantmentArrowKnockback,net/minecraft/enchantment/EnchantmentArrowKnockback,,
class,,acf,net/minecraft/enchantment/EnchantmentDamage,net/minecraft/enchantment/EnchantmentDamage,,
class,,acg,net/minecraft/enchantment/EnchantmentDurability,net/minecraft/enchantment/EnchantmentDurability,,
class,,ach,net/minecraft/enchantment/EnchantmentDigging,net/minecraft/enchantment/EnchantmentDigging,,
class,,aci,net/minecraft/enchantment/Enchantment,net/minecraft/enchantment/Enchantment,,
class,,acj,net/minecraft/enchantment/EnumEnchantmentType,net/minecraft/enchantment/EnumEnchantmentType,,
class,,ack,net/minecraft/enchantment/EnchantmentHelper,net/minecraft/enchantment/EnchantmentHelper,,
class,,ack$1,net/minecraft/enchantment/EnchantmentHelper$1,net/minecraft/enchantment/EnchantmentHelper$1,,
class,,ack$a,net/minecraft/enchantment/EnchantmentHelper$DamageIterator,net/minecraft/enchantment/EnchantmentHelper$DamageIterator,,
class,,ack$b,net/minecraft/enchantment/EnchantmentHelper$HurtIterator,net/minecraft/enchantment/EnchantmentHelper$HurtIterator,,
class,,ack$c,net/minecraft/enchantment/EnchantmentHelper$IModifier,net/minecraft/enchantment/EnchantmentHelper$IModifier,,
class,,ack$d,net/minecraft/enchantment/EnchantmentHelper$ModifierLiving,net/minecraft/enchantment/EnchantmentHelper$ModifierLiving,,
class,,ack$e,net/minecraft/enchantment/EnchantmentHelper$ModifierDamage,net/minecraft/enchantment/EnchantmentHelper$ModifierDamage,,
class,,acl,net/minecraft/enchantment/EnchantmentData,net/minecraft/enchantment/EnchantmentData,,
class,,acm,net/minecraft/enchantment/EnchantmentFireAspect,net/minecraft/enchantment/EnchantmentFireAspect,,
class,,acn,net/minecraft/enchantment/EnchantmentFishingSpeed,net/minecraft/enchantment/EnchantmentFishingSpeed,,
class,,aco,net/minecraft/enchantment/EnchantmentKnockback,net/minecraft/enchantment/EnchantmentKnockback,,
class,,acp,net/minecraft/enchantment/EnchantmentLootBonus,net/minecraft/enchantment/EnchantmentLootBonus,,
class,,acq,net/minecraft/enchantment/EnchantmentOxygen,net/minecraft/enchantment/EnchantmentOxygen,,
class,,acr,net/minecraft/enchantment/EnchantmentProtection,net/minecraft/enchantment/EnchantmentProtection,,
class,,acs,net/minecraft/enchantment/EnchantmentThorns,net/minecraft/enchantment/EnchantmentThorns,,
class,,act,net/minecraft/enchantment/EnchantmentUntouching,net/minecraft/enchantment/EnchantmentUntouching,,
class,,acu,net/minecraft/enchantment/EnchantmentWaterWalker,net/minecraft/enchantment/EnchantmentWaterWalker,,
class,,acv,net/minecraft/enchantment/EnchantmentWaterWorker,net/minecraft/enchantment/EnchantmentWaterWorker,,
class,,acy,net/minecraft/entity/IMerchant,net/minecraft/entity/IMerchant,,
class,,acz,net/minecraft/village/MerchantRecipe,net/minecraft/village/MerchantRecipe,,
class,,ad,net/minecraft/command/CommandExecuteAt,net/minecraft/command/CommandExecuteAt,,
class,,ad$1,net/minecraft/command/CommandExecuteAt$1,net/minecraft/command/CommandExecuteAt$1,,
class,,ada,net/minecraft/village/MerchantRecipeList,net/minecraft/village/MerchantRecipeList,,
class,,adc,net/minecraft/command/server/CommandBlockLogic,net/minecraft/command/server/CommandBlockLogic,,
class,,adc$1,net/minecraft/command/server/CommandBlockLogic$1,net/minecraft/command/server/CommandBlockLogic$1,,
class,,adc$2,net/minecraft/command/server/CommandBlockLogic$2,net/minecraft/command/server/CommandBlockLogic$2,,
class,,add,net/minecraft/tileentity/MobSpawnerBaseLogic,net/minecraft/tileentity/MobSpawnerBaseLogic,,
class,,add$a,net/minecraft/tileentity/MobSpawnerBaseLogic$WeightedRandomMinecart,net/minecraft/tileentity/MobSpawnerBaseLogic$WeightedRandomMinecart,,
class,,ade,net/minecraft/block/BlockEventData,net/minecraft/block/BlockEventData,,
class,,adf,net/minecraft/util/EnumWorldBlockLayer,net/minecraft/util/EnumWorldBlockLayer,,
class,,adg,net/minecraft/world/ChunkCoordIntPair,net/minecraft/world/ChunkCoordIntPair,,
class,,adi,net/minecraft/world/Explosion,net/minecraft/world/Explosion,,
class,,adj,net/minecraft/world/ColorizerFoliage,net/minecraft/world/ColorizerFoliage,,
class,,adk,net/minecraft/world/GameRules,net/minecraft/world/GameRules,,
class,,adk$a,net/minecraft/world/GameRules$Value,net/minecraft/world/GameRules$Value,,
class,,adk$b,net/minecraft/world/GameRules$ValueType,net/minecraft/world/GameRules$ValueType,,
class,,adl,net/minecraft/world/ColorizerGrass,net/minecraft/world/ColorizerGrass,,
class,,adm,net/minecraft/world/World,net/minecraft/world/World,,
class,,adm$1,net/minecraft/world/World$1,net/minecraft/world/World$1,,
class,,adm$2,net/minecraft/world/World$2,net/minecraft/world/World$2,,
class,,adm$3,net/minecraft/world/World$3,net/minecraft/world/World$3,,
class,,adm$4,net/minecraft/world/World$4,net/minecraft/world/World$4,,
class,,adn,net/minecraft/world/MinecraftException,net/minecraft/world/MinecraftException,,
class,,ado,net/minecraft/world/IWorldAccess,net/minecraft/world/IWorldAccess,,
class,,adp,net/minecraft/world/WorldSettings,net/minecraft/world/WorldSettings,,
class,,adp$a,net/minecraft/world/WorldSettings$GameType,net/minecraft/world/WorldSettings$GameType,,
class,,adq,net/minecraft/world/IBlockAccess,net/minecraft/world/IBlockAccess,,
class,,adr,net/minecraft/world/WorldType,net/minecraft/world/WorldType,,
class,,ads,net/minecraft/world/EnumSkyBlock,net/minecraft/world/EnumSkyBlock,,
class,,adt,net/minecraft/world/SpawnerAnimals,net/minecraft/world/SpawnerAnimals,,
class,,adu,net/minecraft/world/Teleporter,net/minecraft/world/Teleporter,,
class,,adu$a,net/minecraft/world/Teleporter$PortalPosition,net/minecraft/world/Teleporter$PortalPosition,,
class,,adv,net/minecraft/world/ChunkCache,net/minecraft/world/ChunkCache,,
class,,adw,net/minecraft/world/NextTickListEntry,net/minecraft/world/NextTickListEntry,,
class,,adx,net/minecraft/world/biome/BiomeGenBeach,net/minecraft/world/biome/BiomeGenBeach,,
class,,ady,net/minecraft/world/biome/BiomeGenBase,net/minecraft/world/biome/BiomeGenBase,,
class,,ady$1,net/minecraft/world/biome/BiomeGenBase$1,net/minecraft/world/biome/BiomeGenBase$1,,
class,,ady$a,net/minecraft/world/biome/BiomeGenBase$Height,net/minecraft/world/biome/BiomeGenBase$Height,,
class,,ady$b,net/minecraft/world/biome/BiomeGenBase$TempCategory,net/minecraft/world/biome/BiomeGenBase$TempCategory,,
class,,ady$c,net/minecraft/world/biome/BiomeGenBase$SpawnListEntry,net/minecraft/world/biome/BiomeGenBase$SpawnListEntry,,
class,,adz,net/minecraft/world/biome/BiomeCache,net/minecraft/world/biome/BiomeCache,,
class,,adz$a,net/minecraft/world/biome/BiomeCache$Block,net/minecraft/world/biome/BiomeCache$Block,,
class,,ae,net/minecraft/command/CommandXP,net/minecraft/command/CommandXP,,
class,,aea,net/minecraft/world/biome/BiomeColorHelper,net/minecraft/world/biome/BiomeColorHelper,,
class,,aea$1,net/minecraft/world/biome/BiomeColorHelper$1,net/minecraft/world/biome/BiomeColorHelper$1,,
class,,aea$2,net/minecraft/world/biome/BiomeColorHelper$2,net/minecraft/world/biome/BiomeColorHelper$2,,
class,,aea$3,net/minecraft/world/biome/BiomeColorHelper$3,net/minecraft/world/biome/BiomeColorHelper$3,,
class,,aea$a,net/minecraft/world/biome/BiomeColorHelper$ColorResolver,net/minecraft/world/biome/BiomeColorHelper$ColorResolver,,
class,,aeb,net/minecraft/world/biome/BiomeDecorator,net/minecraft/world/biome/BiomeDecorator,,
class,,aec,net/minecraft/world/biome/WorldChunkManager,net/minecraft/world/biome/WorldChunkManager,,
class,,aed,net/minecraft/world/biome/BiomeGenDesert,net/minecraft/world/biome/BiomeGenDesert,,
class,,aee,net/minecraft/world/biome/BiomeGenHills,net/minecraft/world/biome/BiomeGenHills,,
class,,aef,net/minecraft/world/biome/WorldChunkManagerHell,net/minecraft/world/biome/WorldChunkManagerHell,,
class,,aeg,net/minecraft/world/biome/BiomeGenForest,net/minecraft/world/biome/BiomeGenForest,,
class,,aeg$1,net/minecraft/world/biome/BiomeGenForest$2,net/minecraft/world/biome/BiomeGenForest$2,,
class,,aeg$2,net/minecraft/world/biome/BiomeGenForest$1,net/minecraft/world/biome/BiomeGenForest$1,,
class,,aeh,net/minecraft/world/biome/BiomeGenHell,net/minecraft/world/biome/BiomeGenHell,,
class,,aei,net/minecraft/world/biome/BiomeGenSnow,net/minecraft/world/biome/BiomeGenSnow,,
class,,aej,net/minecraft/world/biome/BiomeGenJungle,net/minecraft/world/biome/BiomeGenJungle,,
class,,aek,net/minecraft/world/biome/BiomeGenMesa,net/minecraft/world/biome/BiomeGenMesa,,
class,,ael,net/minecraft/world/biome/BiomeGenMushroomIsland,net/minecraft/world/biome/BiomeGenMushroomIsland,,
class,,aem,net/minecraft/world/biome/BiomeGenMutated,net/minecraft/world/biome/BiomeGenMutated,,
class,,aen,net/minecraft/world/biome/BiomeGenOcean,net/minecraft/world/biome/BiomeGenOcean,,
class,,aeo,net/minecraft/world/biome/BiomeGenPlains,net/minecraft/world/biome/BiomeGenPlains,,
class,,aeq,net/minecraft/world/biome/BiomeGenRiver,net/minecraft/world/biome/BiomeGenRiver,,
class,,aer,net/minecraft/world/biome/BiomeGenSavanna,net/minecraft/world/biome/BiomeGenSavanna,,
class,,aer$a,net/minecraft/world/biome/BiomeGenSavanna$Mutated,net/minecraft/world/biome/BiomeGenSavanna$Mutated,,
class,,aes,net/minecraft/world/biome/BiomeGenStoneBeach,net/minecraft/world/biome/BiomeGenStoneBeach,,
class,,aet,net/minecraft/world/biome/BiomeGenSwamp,net/minecraft/world/biome/BiomeGenSwamp,,
class,,aeu,net/minecraft/world/biome/BiomeGenTaiga,net/minecraft/world/biome/BiomeGenTaiga,,
class,,aev,net/minecraft/world/biome/BiomeGenEnd,net/minecraft/world/biome/BiomeGenEnd,,
class,,aew,net/minecraft/world/biome/BiomeEndDecorator,net/minecraft/world/biome/BiomeEndDecorator,,
class,,aey,net/minecraft/block/BlockAir,net/minecraft/block/BlockAir,,
class,,aez,net/minecraft/block/BlockAnvil,net/minecraft/block/BlockAnvil,,
class,,aez$a,net/minecraft/block/BlockAnvil$Anvil,net/minecraft/block/BlockAnvil$Anvil,,
class,,af,net/minecraft/command/CommandFill,net/minecraft/command/CommandFill,,
class,,afa,net/minecraft/block/BlockBanner,net/minecraft/block/BlockBanner,,
class,,afa$1,net/minecraft/block/BlockBanner$1,net/minecraft/block/BlockBanner$1,,
class,,afa$a,net/minecraft/block/BlockBanner$BlockBannerStanding,net/minecraft/block/BlockBanner$BlockBannerStanding,,
class,,afa$b,net/minecraft/block/BlockBanner$BlockBannerHanging,net/minecraft/block/BlockBanner$BlockBannerHanging,,
class,,afb,net/minecraft/block/BlockBarrier,net/minecraft/block/BlockBarrier,,
class,,afc,net/minecraft/block/BlockContainer,net/minecraft/block/BlockContainer,,
class,,afd,net/minecraft/block/BlockBasePressurePlate,net/minecraft/block/BlockBasePressurePlate,,
class,,afe,net/minecraft/block/BlockRailBase,net/minecraft/block/BlockRailBase,,
class,,afe$1,net/minecraft/block/BlockRailBase$1,net/minecraft/block/BlockRailBase$1,,
class,,afe$a,net/minecraft/block/BlockRailBase$Rail,net/minecraft/block/BlockRailBase$Rail,,
class,,afe$b,net/minecraft/block/BlockRailBase$EnumRailDirection,net/minecraft/block/BlockRailBase$EnumRailDirection,,
class,,aff,net/minecraft/block/BlockBeacon,net/minecraft/block/BlockBeacon,,
class,,aff$1,net/minecraft/block/BlockBeacon$1,net/minecraft/block/BlockBeacon$1,,
class,,aff$1$1,net/minecraft/block/BlockBeacon$1$1,net/minecraft/block/BlockBeacon$1$1,,
class,,afg,net/minecraft/block/BlockBed,net/minecraft/block/BlockBed,,
class,,afg$a,net/minecraft/block/BlockBed$EnumPartType,net/minecraft/block/BlockBed$EnumPartType,,
class,,afh,net/minecraft/block/Block,net/minecraft/block/Block,,
class,,afh$1,net/minecraft/block/Block$1,net/minecraft/block/Block$1,,
class,,afh$2,net/minecraft/block/Block$2,net/minecraft/block/Block$2,,
class,,afh$3,net/minecraft/block/Block$3,net/minecraft/block/Block$3,,
class,,afh$4,net/minecraft/block/Block$4,net/minecraft/block/Block$4,,
class,,afh$a,net/minecraft/block/Block$EnumOffsetType,net/minecraft/block/Block$EnumOffsetType,,
class,,afh$b,net/minecraft/block/Block$SoundType,net/minecraft/block/Block$SoundType,,
class,,afi,net/minecraft/init/Blocks,net/minecraft/init/Blocks,,
class,,afj,net/minecraft/block/IGrowable,net/minecraft/block/IGrowable,,
class,,afk,net/minecraft/block/BlockBookshelf,net/minecraft/block/BlockBookshelf,,
class,,afl,net/minecraft/block/BlockBrewingStand,net/minecraft/block/BlockBrewingStand,,
class,,afm,net/minecraft/block/BlockBush,net/minecraft/block/BlockBush,,
class,,afn,net/minecraft/block/BlockButton,net/minecraft/block/BlockButton,,
class,,afn$1,net/minecraft/block/BlockButton$1,net/minecraft/block/BlockButton$1,,
class,,afo,net/minecraft/block/BlockCactus,net/minecraft/block/BlockCactus,,
class,,afp,net/minecraft/block/BlockCake,net/minecraft/block/BlockCake,,
class,,afq,net/minecraft/block/BlockCarrot,net/minecraft/block/BlockCarrot,,
class,,afr,net/minecraft/block/BlockCauldron,net/minecraft/block/BlockCauldron,,
class,,afs,net/minecraft/block/BlockChest,net/minecraft/block/BlockChest,,
class,,aft,net/minecraft/block/BlockClay,net/minecraft/block/BlockClay,,
class,,afu,net/minecraft/block/BlockCocoa,net/minecraft/block/BlockCocoa,,
class,,afu$1,net/minecraft/block/BlockCocoa$1,net/minecraft/block/BlockCocoa$1,,
class,,afv,net/minecraft/block/BlockColored,net/minecraft/block/BlockColored,,
class,,afw,net/minecraft/block/BlockCommandBlock,net/minecraft/block/BlockCommandBlock,,
class,,afx,net/minecraft/block/BlockRedstoneComparator,net/minecraft/block/BlockRedstoneComparator,,
class,,afx$1,net/minecraft/block/BlockRedstoneComparator$1,net/minecraft/block/BlockRedstoneComparator$1,,
class,,afx$a,net/minecraft/block/BlockRedstoneComparator$Mode,net/minecraft/block/BlockRedstoneComparator$Mode,,
class,,afy,net/minecraft/block/BlockWorkbench,net/minecraft/block/BlockWorkbench,,
class,,afy$a,net/minecraft/block/BlockWorkbench$InterfaceCraftingTable,net/minecraft/block/BlockWorkbench$InterfaceCraftingTable,,
class,,afz,net/minecraft/block/BlockCrops,net/minecraft/block/BlockCrops,,
class,,ag,net/minecraft/command/CommandDifficulty,net/minecraft/command/CommandDifficulty,,
class,,aga,net/minecraft/block/BlockDaylightDetector,net/minecraft/block/BlockDaylightDetector,,
class,,agb,net/minecraft/block/BlockDeadBush,net/minecraft/block/BlockDeadBush,,
class,,agc,net/minecraft/block/BlockRailDetector,net/minecraft/block/BlockRailDetector,,
class,,agc$1,net/minecraft/block/BlockRailDetector$1,net/minecraft/block/BlockRailDetector$1,,
class,,agd,net/minecraft/block/BlockRedstoneDiode,net/minecraft/block/BlockRedstoneDiode,,
class,,age,net/minecraft/block/BlockDirectional,net/minecraft/block/BlockDirectional,,
class,,agf,net/minecraft/block/BlockDirt,net/minecraft/block/BlockDirt,,
class,,agf$a,net/minecraft/block/BlockDirt$DirtType,net/minecraft/block/BlockDirt$DirtType,,
class,,agg,net/minecraft/block/BlockDispenser,net/minecraft/block/BlockDispenser,,
class,,agh,net/minecraft/block/BlockDoor,net/minecraft/block/BlockDoor,,
class,,agh$a,net/minecraft/block/BlockDoor$EnumDoorHalf,net/minecraft/block/BlockDoor$EnumDoorHalf,,
class,,agh$b,net/minecraft/block/BlockDoor$EnumHingePosition,net/minecraft/block/BlockDoor$EnumHingePosition,,
class,,agi,net/minecraft/block/BlockDoublePlant,net/minecraft/block/BlockDoublePlant,,
class,,agi$a,net/minecraft/block/BlockDoublePlant$EnumBlockHalf,net/minecraft/block/BlockDoublePlant$EnumBlockHalf,,
class,,agi$b,net/minecraft/block/BlockDoublePlant$EnumPlantType,net/minecraft/block/BlockDoublePlant$EnumPlantType,,
class,,agj,net/minecraft/block/BlockDragonEgg,net/minecraft/block/BlockDragonEgg,,
class,,agk,net/minecraft/block/BlockDropper,net/minecraft/block/BlockDropper,,
class,,agl,net/minecraft/block/BlockDynamicLiquid,net/minecraft/block/BlockDynamicLiquid,,
class,,agm,net/minecraft/block/BlockEnchantmentTable,net/minecraft/block/BlockEnchantmentTable,,
class,,agn,net/minecraft/block/BlockEndPortal,net/minecraft/block/BlockEndPortal,,
class,,ago,net/minecraft/block/BlockEndPortalFrame,net/minecraft/block/BlockEndPortalFrame,,
class,,agp,net/minecraft/block/BlockEnderChest,net/minecraft/block/BlockEnderChest,,
class,,agq,net/minecraft/block/ITileEntityProvider,net/minecraft/block/ITileEntityProvider,,
class,,agr,net/minecraft/block/BlockFalling,net/minecraft/block/BlockFalling,,
class,,ags,net/minecraft/block/BlockFarmland,net/minecraft/block/BlockFarmland,,
class,,ags$1,net/minecraft/block/BlockFarmland$1,net/minecraft/block/BlockFarmland$1,,
class,,agt,net/minecraft/block/BlockFence,net/minecraft/block/BlockFence,,
class,,agu,net/minecraft/block/BlockFenceGate,net/minecraft/block/BlockFenceGate,,
class,,agv,net/minecraft/block/BlockFire,net/minecraft/block/BlockFire,,
class,,agw,net/minecraft/block/BlockFlower,net/minecraft/block/BlockFlower,,
class,,agw$1,net/minecraft/block/BlockFlower$1,net/minecraft/block/BlockFlower$1,,
class,,agw$a,net/minecraft/block/BlockFlower$EnumFlowerType,net/minecraft/block/BlockFlower$EnumFlowerType,,
class,,agw$a$1,net/minecraft/block/BlockFlower$EnumFlowerType$1,net/minecraft/block/BlockFlower$EnumFlowerType$1,,
class,,agw$b,net/minecraft/block/BlockFlower$EnumFlowerColor,net/minecraft/block/BlockFlower$EnumFlowerColor,,
class,,agx,net/minecraft/block/BlockFlowerPot,net/minecraft/block/BlockFlowerPot,,
class,,agx$1,net/minecraft/block/BlockFlowerPot$1,net/minecraft/block/BlockFlowerPot$1,,
class,,agx$a,net/minecraft/block/BlockFlowerPot$EnumFlowerType,net/minecraft/block/BlockFlowerPot$EnumFlowerType,,
class,,agy,net/minecraft/block/BlockDoubleStoneSlabNew,net/minecraft/block/BlockDoubleStoneSlabNew,,
class,,agz,net/minecraft/block/BlockDoubleStoneSlab,net/minecraft/block/BlockDoubleStoneSlab,,
class,,ah,net/minecraft/command/CommandGameMode,net/minecraft/command/CommandGameMode,,
class,,aha,net/minecraft/block/BlockDoubleWoodSlab,net/minecraft/block/BlockDoubleWoodSlab,,
class,,ahb,net/minecraft/block/BlockFurnace,net/minecraft/block/BlockFurnace,,
class,,ahb$1,net/minecraft/block/BlockFurnace$1,net/minecraft/block/BlockFurnace$1,,
class,,ahc,net/minecraft/block/BlockGlass,net/minecraft/block/BlockGlass,,
class,,ahd,net/minecraft/block/BlockGlowstone,net/minecraft/block/BlockGlowstone,,
class,,ahe,net/minecraft/block/BlockGrass,net/minecraft/block/BlockGrass,,
class,,ahf,net/minecraft/block/BlockGravel,net/minecraft/block/BlockGravel,,
class,,ahg,net/minecraft/block/BlockHalfStoneSlabNew,net/minecraft/block/BlockHalfStoneSlabNew,,
class,,ahh,net/minecraft/block/BlockSlab,net/minecraft/block/BlockSlab,,
class,,ahh$a,net/minecraft/block/BlockSlab$EnumBlockHalf,net/minecraft/block/BlockSlab$EnumBlockHalf,,
class,,ahi,net/minecraft/block/BlockHalfStoneSlab,net/minecraft/block/BlockHalfStoneSlab,,
class,,ahj,net/minecraft/block/BlockBreakable,net/minecraft/block/BlockBreakable,,
class,,ahk,net/minecraft/block/BlockHalfWoodSlab,net/minecraft/block/BlockHalfWoodSlab,,
class,,ahl,net/minecraft/block/BlockHardenedClay,net/minecraft/block/BlockHardenedClay,,
class,,ahm,net/minecraft/block/BlockHay,net/minecraft/block/BlockHay,,
class,,ahn,net/minecraft/block/BlockHopper,net/minecraft/block/BlockHopper,,
class,,ahn$1,net/minecraft/block/BlockHopper$1,net/minecraft/block/BlockHopper$1,,
class,,aho,net/minecraft/block/BlockHugeMushroom,net/minecraft/block/BlockHugeMushroom,,
class,,aho$1,net/minecraft/block/BlockHugeMushroom$1,net/minecraft/block/BlockHugeMushroom$1,,
class,,aho$a,net/minecraft/block/BlockHugeMushroom$EnumType,net/minecraft/block/BlockHugeMushroom$EnumType,,
class,,ahp,net/minecraft/block/BlockIce,net/minecraft/block/BlockIce,,
class,,ahq,net/minecraft/block/BlockJukebox,net/minecraft/block/BlockJukebox,,
class,,ahq$a,net/minecraft/block/BlockJukebox$TileEntityJukebox,net/minecraft/block/BlockJukebox$TileEntityJukebox,,
class,,ahr,net/minecraft/block/BlockLadder,net/minecraft/block/BlockLadder,,
class,,ahr$1,net/minecraft/block/BlockLadder$1,net/minecraft/block/BlockLadder$1,,
class,,ahs,net/minecraft/block/BlockLeaves,net/minecraft/block/BlockLeaves,,
class,,ahu,net/minecraft/block/BlockLever,net/minecraft/block/BlockLever,,
class,,ahu$1,net/minecraft/block/BlockLever$1,net/minecraft/block/BlockLever$1,,
class,,ahu$a,net/minecraft/block/BlockLever$EnumOrientation,net/minecraft/block/BlockLever$EnumOrientation,,
class,,ahv,net/minecraft/block/BlockLiquid,net/minecraft/block/BlockLiquid,,
